Mu,r,a,b,F_total,Cx,Cy,W,Chord,Phi,Q,T
0.65,0.0975,0.335542638028524,0.0248599492422239,0.964935784517954,0.933906372003638,0.177011566825323,1.92204990887817,0.0251725,14.0890365610624,0.00371682618480134,0.194876994190653
0.66,0.099,0.33482881556348,0.0240422583517985,0.963219824068005,0.936628121889348,0.174724712493946,1.94856649561619,0.024731,13.9087858769955,0.00375907390269267,0.19729193799234
0.67,0.1005,0.334114993098435,0.0232245674613732,0.961503863618057,0.939349871775059,0.172437858162569,1.97508308235421,0.0242895,13.7285351929286,0.00379481256576786,0.19968987046938
0.68,0.102,0.33340117063339,0.0224068765709479,0.959787903168108,0.942071621660769,0.170151003831192,2.00159966909224,0.023848,13.5482845088617,0.00382360720488085,0.202070789441584
0.69,0.1035,0.332687348168345,0.0215891856805226,0.958071942718159,0.944793371546479,0.167864149499815,2.02811625583026,0.0234065,13.3680338247948,0.00384501387671196,0.204434693018957
0.7,0.105,0.3319735257033,0.0207714947900973,0.95635598226821,0.947515121432189,0.165577295168438,2.05463284256828,0.022965,13.1877831407278,0.00385857971858092,0.206781579601717
0.71,0.1065,0.331690395012071,0.0202411888890308,0.950476314968348,0.950896184822681,0.163761621397618,2.08143135026475,0.0225165,13.0367088176978,0.00389988374142038,0.208335829917562
0.72,0.108,0.331407264320842,0.0197108829879642,0.944596647668485,0.954277248213173,0.161945947626797,2.10822985796121,0.022068,12.8856344946677,0.00393646221182295,0.20985248271108
0.73,0.1095,0.331124133629612,0.0191805770868977,0.938716980368622,0.957658311603664,0.160130273855977,2.13502836565767,0.0216195,12.7345601716376,0.00396808770614005,0.211331581032741
0.74,0.111,0.330841002938383,0.0186502711858312,0.932837313068759,0.961039374994156,0.158314600085156,2.16182687335414,0.021171,12.5834858486075,0.00399453324345544,0.212773168089453
0.75,0.1125,0.330557872247153,0.0181199652847646,0.926957645768896,0.964420438384648,0.156498926314336,2.1886253810506,0.0207225,12.4324115255775,0.00401557249515556,0.214177287244561
0.76,0.114,0.330274741555924,0.0175896593836981,0.921077978469034,0.96780150177514,0.154683252543515,2.21542388874706,0.020274,12.2813372025474,0.00403097999502738,0.215543982017851
0.77,0.1155,0.329991610864695,0.0170593534826315,0.915198311169171,0.971182565165632,0.152867578772695,2.24222239644353,0.0198255,12.1302628795173,0.00404053134988359,0.216873296085546
0.78,0.117,0.329708480173465,0.016529047581565,0.909318643869308,0.974563628556123,0.151051905001874,2.26902090413999,0.019377,11.9791885564873,0.00404400345071531,0.218165273280306
0.79,0.1185,0.329425349482236,0.0159987416804985,0.903438976569445,0.977944691946615,0.149236231231054,2.29581941183645,0.0189285,11.8281142334572,0.00404117468437224,0.219419957591238
0.8,0.12,0.329142218791006,0.0154684357794319,0.897559309269583,0.981325755337107,0.147420557460233,2.32261791953291,0.01848,11.6770399104271,0.00403182514576988,0.220637393163875
0.81,0.1215,0.33013117252811,0.0151322229956684,0.881998459693131,0.981809645006454,0.14534642901316,2.34956957721358,0.0180245,11.5382714587613,0.00401612089334712,0.219840531698896
0.82,0.123,0.331120126265213,0.0147960102119048,0.866437610116679,0.982293534675801,0.143272300566087,2.37652123489425,0.017569,11.3995030070955,0.00399544468166412,0.218942957091039
0.83,0.1245,0.332109080002316,0.0144597974281412,0.850876760540227,0.982777424345148,0.141198172119014,2.40347289257492,0.0171135,11.2607345554297,0.00396978226136421,0.217944269387779
0.84,0.126,0.333098033739419,0.0141235846443776,0.835315910963775,0.983261314014495,0.139124043671941,2.43042455025559,0.016658,11.1219661037639,0.00393912986923904,0.216844073687879
0.85,0.1275,0.334086987476522,0.013787371860614,0.819755061387323,0.983745203683842,0.137049915224868,2.45737620793626,0.0162025,10.983197652098,0.0039034944989779,0.215641980141399
0.86,0.129,0.335075941213625,0.0134511590768504,0.804194211810871,0.984229093353189,0.134975786777795,2.48432786561693,0.015747,10.8444292004322,0.00386289416882597,0.214337603949689
0.87,0.1305,0.336064894950728,0.0131149462930869,0.78863336223442,0.984712983022536,0.132901658330722,2.5112795232976,0.0152915,10.7056607487664,0.00381735818615143,0.212930565365393
0.88,0.132,0.337053848687831,0.0127787335093233,0.773072512657968,0.985196872691883,0.130827529883649,2.53823118097827,0.014836,10.5668922971006,0.00376692740892152,0.211420489692446
0.89,0.1335,0.338042802424935,0.0124425207255597,0.757511663081516,0.98568076236123,0.128753401436575,2.56518283865894,0.0143805,10.4281238454348,0.00371165450408746,0.209807007286078
0.9,0.135,0.339031756162038,0.0121063079417961,0.741950813505064,0.986164652030578,0.126679272989502,2.59213449633961,0.013925,10.289355393769,0.00365160420287825,0.208089753552808
0.91,0.1365,0.338316593377072,0.0118504481119598,0.725399248839665,0.985792281621541,0.125298373505714,2.60550286545861,0.0134625,10.2013683931457,0.0036157271196932,0.205483884046283
0.92,0.138,0.337601430592107,0.0115945882821235,0.708847684174267,0.985419911212505,0.123917474021925,2.6188712345776,0.013,10.1133813925224,0.00357538495103029,0.202779640786991
0.93,0.1395,0.336886267807141,0.0113387284522872,0.692296119508868,0.985047540803468,0.122536574538136,2.6322396036966,0.0125375,10.0253943918991,0.00353060233023968,0.199977376279086
0.94,0.141,0.336171105022176,0.0110828686224509,0.67574455484347,0.984675170394432,0.121155675054348,2.64560797281559,0.012075,9.93740739127576,0.00348141465914616,0.197077445836478
0.95,0.1425,0.335455942237211,0.0108270087926146,0.659192990178071,0.984302799985395,0.119774775570559,2.65897634193458,0.0116125,9.84942039065246,0.00342786844537528,0.194080207582795
0.96,0.144,0.334740779452245,0.0105711489627783,0.642641425512673,0.983930429576359,0.11839387608677,2.67234471105358,0.01115,9.76143339002916,0.00337002164149018,0.190986022451419
0.97,0.1455,0.33402561666728,0.010315289132942,0.626089860847274,0.983558059167322,0.117012976602982,2.68571308017257,0.0106875,9.67344638940586,0.00330794398593687,0.187795254185467
0.98,0.147,0.333310453882314,0.0100594293031057,0.609538296181875,0.983185688758286,0.115632077119193,2.69908144929157,0.010225,9.58545938878255,0.00324171734579927,0.1845082693378
0.99,0.1485,0.332595291097349,0.00980356947326945,0.592986731516477,0.982813318349249,0.114251177635404,2.71244981841056,0.0097625,9.49747238815925,0.00317143606136365,0.181125437271015
1,0.15,0.331880128312383,0.00954770964343315,0.576435166851078,0.982440947940213,0.112870278151616,2.72581818752956,0.0093,9.40948538753595,0,0
